Memory Ch,Rx Frequency,Tx Frequency,Offset,Repeater Shift,Mode,Tag,Encoding,Tone,DCS
1,145.19,144.59,0.6,-RPT,FM,WA7ABU,TONE ENC,100.0 Hz,23
2,145.29,144.69,0.6,-RPT,FM,WA7ABU,OFF,118.8 Hz,23
3,444.95,449.95,5,+RPT,FM,W7ABU,TONE ENC,100.0 Hz,23
4,145.49,144.89,0.6,-RPT,FM,W7PRA Sa,TONE ENC,136.5 Hz,23
5,444.825,449.825,5,+RPT,FM,W7PRA Ha,DCS,100.0 Hz,23
6,146.61,146.01,0.6,-RPT,FM,KA7ENW,TONE ENC,167.9 Hz,23
7,442.85,447.85,5,+RPT,FM,KA7ENW,TONE ENC,167.9 Hz,23
8,147.06,147.66,0.6,+RPT,FM,W1ARK,TONE ENC,100.0 Hz,23
9,145.33,144.73,0.6,-RPT,FM,W7SRA,TONE ENC,186.2 Hz,23
10,146.72,146.12,0.6,-RPT,FM,W7PXL,TONE ENC,100.0 Hz,23
11,146.68,146.08,0.6,-RPT,FM,W7EUG,TONE ENC,100.0 Hz,23
12,146.78,146.18,0.6,-RPT,FM,K7CVO,TONE ENC,156.7 Hz,23
13,146.82,146.22,0.6,-RPT,FM,WA7TUV,TONE ENC,100.0 Hz,23
14,434.91,439.91,5,+RPT,FM,KF7LDG,TONE ENC,100.0 Hz,23
15,440.425,445.425,5,+RPT,FM,K7LNK,DCS,100.0 Hz,125
16,440.8,445.8,5,+RPT,FM,AB7BS,TONE ENC,100.0 Hz,23
17,441.975,446.975,5,+RPT,FM,W7CQZ,TONE ENC,100.0 Hz,23
18,442.3,447.3,5,+RPT,FM,N8GFO,TONE ENC,162.2 Hz,23
20,146.43,146.43,0,OFF,FM,Prep Net,OFF,100.0 Hz,23
21,146.42,146.42,0,OFF,FM,VHF Prep,OFF,100.0 Hz,23
22,146.55,146.55,0,OFF,FM,VHF Surv,OFF,100.0 Hz,23
23,446.03,446.03,0,OFF,FM,UHF Prep,OFF,100.0 Hz,23
24,146.43,146.43,0.6,OFF,FM,V Sim 1,OFF,100.0 Hz,23
25,146.475,146.475,0.6,OFF,FM,V Sim 2,OFF,100.0 Hz,23
26,146.58,146.58,0.6,OFF,FM,V Sim 3,OFF,100.0 Hz,23
27,147.465,147.465,0.6,OFF,FM,V Sim 4,OFF,100.0 Hz,23
28,445.9625,445.9625,5,OFF,FM,U Sim1,OFF,100.0 Hz,23
29,445.975,445.975,5,OFF,FM,U Sim 2,OFF,100.0 Hz,23
30,446.0375,446.0375,5,OFF,FM,U Sim 3,OFF,100.0 Hz,23
31,446.075,446.075,5,OFF,FM,U Sim 4,OFF,100.0 Hz,23
40,162.475,162.475,0,OFF,FM,WX3PA4,OFF,100.0 Hz,23
41,162.5,162.5,0,OFF,FM,WX6PA5,OFF,100.0 Hz,23
42,122.725,122.725,0,OFF,AM,ALB CTAF,OFF,100.0 Hz,23
43,123.075,123.075,0,OFF,AM,CVO CTAF,OFF,100.0 Hz,23
44,156.08,156.08,0.6,OFF,FM,PD,OFF,100.0 Hz,23
45,156.815,156.815,0,OFF,FM,ALB PD,OFF,100.0 Hz,23
46,155.01,155.01,0,OFF,FM,PD Sec,OFF,100.0 Hz,23
47,151.13,151.13,0,OFF,FM,LCSO Knx,OFF,100.0 Hz,23
48,154.71,154.71,0,OFF,FM,LCSO Sct,OFF,100.0 Hz,23
49,156.7,156.7,0,OFF,FM,LCSO ST,OFF,100.0 Hz,23
50,155.805,155.805,0,OFF,FM,LCSO SAR,OFF,100.0 Hz,23
51,155.34,155.34,0,OFF,FM,ALB GEN,OFF,100.0 Hz,23
